Namespace                                                State
-------------------------------------------------------  -------------
ArizeAi.ObservabilityEval                                NotRegistered
Astronomer.Astro                                         NotRegistered
Dell.Storage                                             NotRegistered
Dynatrace.Observability                                  NotRegistered
GitHub.Network                                           NotRegistered
Informatica.DataManagement                               NotRegistered
LambdaTest.HyperExecute                                  NotRegistered
Liftrbasic.Samplerp                                      NotRegistered
Microsoft.AAD                                            NotRegistered
Microsoft.AadCustomSecurityAttributesDiagnosticSettings  NotRegistered
microsoft.aadiam                                         NotRegistered
Microsoft.Addons                                         NotRegistered
Microsoft.AgFoodPlatform                                 NotRegistered
Microsoft.AgriculturePlatform                            NotRegistered
Microsoft.AlertsManagement                               NotRegistered
Microsoft.AnalysisServices                               NotRegistered
Microsoft.ApiCenter                                      NotRegistered
Microsoft.ApiManagement                                  NotRegistered
Microsoft.App                                            NotRegistered
Microsoft.AppAssessment                                  NotRegistered
Microsoft.AppComplianceAutomation                        NotRegistered
Microsoft.AppConfiguration                               NotRegistered
Microsoft.ApplicationMigration                           NotRegistered
Microsoft.AppLink                                        NotRegistered
Microsoft.AppPlatform                                    NotRegistered
Microsoft.ArcContainerStorage                            NotRegistered
Microsoft.Attestation                                    NotRegistered
Microsoft.Automanage                                     NotRegistered
Microsoft.Automation                                     NotRegistered
Microsoft.AVS                                            NotRegistered
Microsoft.AwsConnector                                   NotRegistered
Microsoft.AzureActiveDirectory                           NotRegistered
Microsoft.AzureArcData                                   NotRegistered
Microsoft.AzureBusinessContinuity                        NotRegistered
Microsoft.AzureDataTransfer                              NotRegistered
Microsoft.AzureFleet                                     NotRegistered
Microsoft.AzureImageTestingForLinux                      NotRegistered
Microsoft.AzureLargeInstance                             NotRegistered
Microsoft.AzurePlaywrightService                         NotRegistered
Microsoft.AzureResilienceManagement                      NotRegistered
Microsoft.AzureScan                                      NotRegistered
Microsoft.AzureSphere                                    NotRegistered
Microsoft.AzureStack                                     NotRegistered
Microsoft.AzureStackHCI                                  NotRegistered
Microsoft.AzureTerraform                                 NotRegistered
Microsoft.BackupSolutions                                NotRegistered
Microsoft.BareMetal                                      NotRegistered
